"","Country","Smokers_F","Smokers_M","Cases%M","Cases%F","Deaths%M","Deaths%F","ProportionDeathsInConfirmedCases_M","ProportionDeathsInConfirmedCases_F","ProportionDeathsInConfirmedCases_Ratio","ratio_deaths","ratio_cases","ratio_Proportion","ratio_smoking"
"1","Albania",7.1,51.2,0.48,0.52,0.67,0.33,3.8,1.73,2.2,2.03030303030303,0.923076923076923,2.19653179190751,7.2112676056338
"2","Argentina",16.2,27.7,50.64,49.36,0.57,0.43,2.21,1.71,1.3,1.32558139534884,1.0259319286872,1.29239766081871,1.70987654320988
"3","Australia",13,16.5,48.61,51.39,48.1,51.9,3.25,3.31,0.98,0.926782273603083,0.945903872348706,0.981873111782477,1.26923076923077
"4","Austria",28.4,30.9,0.52,0.48,0.57,0.43,1.67,1.36,1.22,1.32558139534884,1.08333333333333,1.22794117647059,1.08802816901408
"5","Bangladesh",1,44.7,0.71,0.29,0.77,0.23,1.59,1.16,1.37,3.34782608695652,2.44827586206897,1.37068965517241,44.7
"6","Belgium",25.1,31.4,44.5,55.5,47.39,52.61,6.57,5.85,1.12,0.900779319521004,0.801801801801802,1.12307692307692,1.25099601593625
"7","Bosnia and Herzegovina",30.2,47.7,0.52,0.48,0.66,0.34,3.54,1.98,1.78,1.94117647058824,1.08333333333333,1.78787878787879,1.5794701986755
"8","Burkina Faso",1.6,23.9,66.33,33.67,74.51,25.49,4.63,0.03,1.54,2.92310710082385,1.97000297000297,154.333333333333,14.9375
"9","Canada",12,16.6,46.33,53.67,46.06,53.94,5.63,5.69,0.99,0.853911753800519,0.863238308179616,0.989455184534271,1.38333333333333
"10","Chile",34.2,41.5,50.89,49.11,0.6,0.4,1.28,0.97,1.32,1.5,1.03624516391774,1.31958762886598,1.21345029239766
"11","China",1.9,48.4,0.51,0.49,0.64,0.36,4.7,2.8,1.68,1.77777777777778,1.04081632653061,1.67857142857143,25.4736842105263
"12","Colombia",4.7,13.5,50.53,49.47,64.2,35.8,3.87,2.2,1.76,1.79329608938548,1.02142712755205,1.75909090909091,2.87234042553191
"13","Costa Rica",6.4,17.4,51.93,48.07,62.91,37.09,1.5,0.96,1.57,1.69614451334591,1.08029956313709,1.5625,2.71875
"14","Czech Republic",30.5,38.3,50.22,49.78,59.42,40.58,1.41,1.17,1.21,1.46426811237063,1.00883889112093,1.20512820512821,1.25573770491803
"15","Denmark",19.3,18.8,48.15,51.85,56.53,43.47,2.39,1.71,1.4,1.30043708304578,0.928640308582449,1.39766081871345,0.974093264248705
"16","Dominican Republic",8.5,19.1,0.51,0.49,0.66,0.34,2.37,1.26,1.88,1.94117647058824,1.04081632653061,1.88095238095238,2.24705882352941
"17","Ecuador",2,12.3,52.86,47.14,66.55,33.45,10.09,5.69,1.77,1.98953662182362,1.12134068731438,1.77328646748682,6.15
"18","Estonia",24.5,39.3,47.48,52.52,45.59,54.41,1.72,1.85,0.93,0.837897445322551,0.904036557501904,0.92972972972973,1.60408163265306
"19","Finland",18.3,22.6,0.49,0.51,0.48,0.52,4.02,4.29,0.94,0.923076923076923,0.96078431372549,0.937062937062937,1.23497267759563
"20","France",30.1,35.6,0.47,0.53,58.8,41.2,3.11,0.02,1.55,1.42718446601942,0.886792452830189,155.5,1.18272425249169
"21","Germany",28.2,33.1,49.92,50.08,55.49,44.51,3.66,2.91,1.26,1.24668613794653,0.996805111821086,1.25773195876289,1.17375886524823
"22","Greece",35.3,52,55.56,44.44,61.84,38.16,2.38,1.84,1.3,1.62054507337526,1.25022502250225,1.29347826086957,1.47308781869688
"23","Haiti",2.9,23.1,57.9,42.1,62.17,37.83,2.78,2.33,1.19,1.64340470526038,1.37529691211401,1.1931330472103,7.96551724137931
"24","India",1.9,20.6,0.65,0.35,0.64,0.36,2.62,3.07,0.85,1.77777777777778,1.85714285714286,0.853420195439739,10.8421052631579
"25","Indonesia",2.8,76.1,51.02,48.98,58.8,41.2,4.05,2.96,1.37,1.42718446601942,1.04164965291956,1.36824324324324,27.1785714285714
"26","Iran",0.8,21.1,0.57,0.43,0.59,0.41,5.89,5.43,1.09,1.4390243902439,1.32558139534884,1.08471454880295,26.375
"27","Israel",15.4,35.4,52.49,47.51,56.1,43.9,0.67,0.58,1.16,1.27790432801822,1.10482003788676,1.1551724137931,2.2987012987013
"28","Italy",19.8,27.8,47.99,52.01,57.32,42.68,13.15,9.04,1.46,1.34301780693533,0.922707171697751,1.45464601769912,1.4040404040404
